FIELD CODE,FIELD NAME,CONTENT TO REPORT,LOAN 1,LOAN 2,LOAN 3,LOAN 4,LOAN 5,__errors__
AUTL11,Geographic Region Classification,Year of NUTS3 classification used,2021,2021,2021,2021,2021,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL12,Employment Status,Employment status of primary obligor,EMRS,EMRS,SFEM,EMRS,PNNR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL13,Credit Impaired Obligor,Confirmation of credit impairment status,No,No,No,Yes,No,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL14,Obligor Legal Type,Legal form of customer,INDV,INDV,INDV,INDV,INDV,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL15,Customer Type,Customer type at origination,CNEO,ENEO,CNEO,CNEO,ENEO,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL16,Primary Income,Primary obligor annual income at origination,65000 EUR,52000 EUR,78000 EUR,45000 EUR,38000 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL17,Primary Income Type,Type of income displayed,GRAN,GRAN,GRAN,GRAN,GRAN,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL18,Primary Income Currency,Currency of primary obligor's income,EUR,EUR,EUR,EUR,EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL19,Primary Income Verification,Primary income verification method,VRFD,VRFD,VRFD,SCRT,VRFD,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL20,Revenue,Annual sales volume for legal entities,,,95000 EUR,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL21,Financial Statement Currency,Reporting currency of financial statements,,,EUR,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL22,Special Scheme,Special public sector arrangement name,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL23,Product Type,Classification of the lease/loan,HIRP,HIRP,HIRP,HIRP,HIRP,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL24,Origination Date,Date of original exposure advance,15/08/2023,20/10/2023,10/01/2024,05/02/2024,12/03/2024,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL25,Maturity Date,Date of maturity or lease expiry,15/08/2028,20/10/2028,10/01/2029,05/02/2027,12/03/2027,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL26,Original Term,Original contractual term in months,60,60,60,36,36,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL27,Origination Channel,Origination channel of exposure,ADLR,DIRE,ADLR,ADLR,DIRE,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL28,Currency Denomination,Underlying exposure currency,EUR,EUR,EUR,EUR,EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL29,Original Principal Balance,Principal balance at origination,35000 EUR,28000 EUR,45000 EUR,22000 EUR,18000 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL30,Current Principal Balance,Balance outstanding as of cut-off date,28500 EUR,24800 EUR,43200 EUR,18700 EUR,16200 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL31,Purchase Price,Price at which exposure purchased by SSPE,100,100,100,100,100,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL32,Amortisation Type,Type of amortisation,FRXX,FRXX,FRXX,FRXX,FRXX,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL33,Principal Grace Period End Date,Principal grace period end date,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL34,Scheduled Principal Payment Frequency,Frequency of principal payments,MNTH,MNTH,MNTH,MNTH,MNTH,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL35,Scheduled Interest Payment Frequency,Frequency of interest payments,MNTH,MNTH,MNTH,MNTH,MNTH,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL36,Payment Method,Usual method of payment,CDTX,CDTX,BTRA,CDTX,CDTX,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL37,Payment Due,Next contractual payment due,689.50 EUR,551.20 EUR,886.40 EUR,732.15 EUR,567.80 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL38,Balloon Amount,Principal repayment at maturity,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL39,Down Payment Amount,Deposit/down payment at origination,7000 EUR,5500 EUR,7000 EUR,4500 EUR,3500 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL40,Current Interest Rate,Current interest rate applicable,4.25,3.95,5.15,6.85,3.75,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL41,Current Interest Rate Index,Base reference interest index,EURI,EURI,EURI,EURI,EURI,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL42,Current Interest Rate Index Tenor,Tenor of current interest rate index,QUTR,QUTR,QUTR,QUTR,QUTR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL43,Current Interest Rate Margin,Interest rate margin over index,2.75,2.45,3.65,5.35,2.25,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL44,Interest Rate Reset Interval,Months between rate reset dates,3,3,3,3,3,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL45,Interest Rate Cap,Maximum rate obligor must pay,8,7.5,9,10,7,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL46,Interest Rate Floor,Minimum rate obligor must pay,1,1,1,1,1,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL47,Number Of Payments Before Securitisation,Payments made before securitisation,16,14,11,22,20,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL48,Percentage Of Prepayments Allowed Per Year,Prepayment threshold percentage,20,20,20,20,20,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL49,Prepayment Fee,Fee collected for prepayments,1.5 EUR,1.5 EUR,1.5 EUR,2.0 EUR,1.0 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL50,Prepayment Fee End Date,Date after which no prepayment fee,15/08/2025,20/10/2025,10/01/2026,05/02/2025,12/03/2025,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL51,Prepayment Date,Latest unscheduled principal payment date,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL52,Cumulative Prepayments,Total prepayments to cut-off date,0 EUR,0 EUR,0 EUR,0 EUR,0 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL53,Manufacturer,Brand name of vehicle manufacturer,BMW,Audi,Volkswagen,Ford,Mercedes-Benz,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL54,Model,Name of the car model,320i,A4,Golf,Focus,C-Class,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL55,Year Of Registration,Year the car was registered,2023,2022,2024,2023,2022,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL56,New Or Used,Condition of vehicle at origination,NEWX,USED,NEWX,USED,USED,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL57,Energy Performance Certificate Value,Energy performance certificate,EPCC,EPCD,EPCB,EPCC,EPCD,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL58,Energy Performance Certificate Provider Name,Full legal name of EPC provider,TÜV SÜD AG,Bureau Veritas SA,DEKRA SE,AENOR Internacional SAU,RDW,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL59,Original Loan-To-Value,Ratio of exposure to vehicle value,83.33,83.58,86.54,83.02,83.72,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL60,Original Valuation Amount,List price of vehicle at origination,42000 EUR,33500 EUR,52000 EUR,26500 EUR,21500 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL61,Original Residual Value Of Vehicle,Estimated residual value at lease origination,21000 EUR,13400 EUR,31200 EUR,10600 EUR,8600 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL62,Option To Buy Price,Amount to pay for vehicle ownership,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL63,Securitised Residual Value,Securitised residual value amount,18900 EUR,11200 EUR,29800 EUR,8900 EUR,7400 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL64,Updated Residual Value Of Vehicle,Most recent estimated residual value,19500 EUR,12100 EUR,30500 EUR,9200 EUR,7800 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL65,Date Of Updated Residual Valuation Of Vehicle,Date of most recent valuation update,01/12/2024,15/11/2024,15/12/2024,30/10/2024,20/11/2024,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL66,Date Of Restructuring,Date exposure was restructured,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL67,Date Last In Arrears,Date obligor was last in arrears,,,,15/08/2024,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL68,Arrears Balance,Current balance of arrears,0 EUR,0 EUR,0 EUR,0 EUR,0 EUR,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL69,Number Of Days In Arrears,Days exposure is in arrears,0,0,0,0,0,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL70,Account Status,Current status of exposure,PERF,PERF,PERF,PERF,PERF,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
